name,subtitle,backers,goal,pledged,usd_pledged,created_at,launched_at,deadline,state_changed_at,category,location,staff_pick,is_in_post_campaign_pledging_phase,state,campaign_id,scrape_date,days_left,description
Sesame Ring - Where will it take you?,"Wearable Charlie Cards, so you can pay public transport fares with a dash of style.",798,5000.0,19120.77,19120.77,8/2/2013 14:41,8/22/2013 21:57,9/14/2013 23:59,1379174340,Technology,Cambridge,True,,successful,ed6a2182d1,2/27/2025,,"1. Description: Introducing the Sesame Ring - revolutionizing the way you pay your fares. No more scrambling for your travel card or loose change. This fashionable, waterproof ring keeps your public transport payment accessible right on your finger. It’s not just jewelry; it’s the future of public transit travel. Let’s give trendy a true purpose."
Mediated Touch - A Telepresence Study,Exploring how technology and humans interact.,114,950.0,1947.0,1947.0,9/24/2012 19:33,10/2/2012 21:51,10/29/2012 11:59,1351483141,Technology,Maastricht,True,,successful,eb5ed4f502,2/27/2025,,"2. Description: Mediated Touch is not just a study but an exploration into the dynamic world of human-technology interactions. This project focuses on developing technology with the capability to mediate, translate, and even enhance physical touch in a digital environment. Partner with us, as we unravel the future of telepresence, create connections, and revolutionize communication."
BioLite BaseLantern – Smartgrid Goes Off-Grid,"Experience big light, shareable energy, and smarter control with the world’s first connected flatpack lantern.",4860,75000.0,816966.09,816966.09,4/27/2016 0:02,5/10/2016 7:53,6/11/2016 11:59,1465617540,Technology,Brooklyn,True,False,successful,eb1a5aa350,2/27/2025,,"3. Description: The BioLite BaseLantern is not just a light source—it's a glimpse into the future of off-grid energy. Experience powerful illuminations, shareable power, and intuitive control with the world’s first connected flatpack lantern. Ideal for campers, explorers, and anyone needing light in remote areas, help us bring the smart grid to the great outdoors."
Beautiful Vim Cheat-Sheet Poster,Vim is beautiful (on the inside).  It deserves some beautiful reference material that actually helps you learn & use it!,467,1000.0,12023.82,12023.82,10/4/2011 1:31,4/27/2012 6:10,5/11/2012 6:10,1336687840,Technology,Los Angeles,True,,successful,e9ded25fa2,2/27/2025,,"4. Description: Immortalize the beauty of Vim and discover a creative way to learn and use it with our Beautiful Vim Cheat-Sheet Poster. Designed for both newbies and seasoned professionals, this visually stunning poster serves as both a decorative piece and an easily accessible reference guide. Welcome the challenge of learning Vim—on your own terms."
SpeedX Leopard | the first ever smart aero road bike,SpeedX Leopard is the only smart aero road bike with the ability to help you train and track your progress in real time.,1251,50000.0,2319876.0,2319876.0,2/23/2016 18:13,3/23/2016 22:01,4/22/2016 22:01,1461333707,Technology,San Jose,True,,successful,e87d0a238b,2/27/2025,,"5. Description: The SpeedX Leopard doesn't just ride the future—it leads it. This is the world’s initial smart aero road bike, designed to transform how you train, track, and maximize your cycling performance. With integrated smart controls, innovative design, and intuitive tracking systems, we're redefining what a bike can do."
Jumpshot: A New Weapon to Battle PC Frustration,Elegantly designed USB stick that cleans and optimizes your PC in one simple step. Crowd driven and enjoyable to use.,3025,25000.0,162598.26,162598.26,6/25/2012 0:57,7/10/2012 18:17,9/8/2012 18:17,1347099451,Technology,Austin,True,,successful,e7b6e92c6f,2/27/2025,,"6. Description: Jumpshot is here to end your PC frustration. This elegantly crafted USB stick is your ultimate digital ally, cleaning and optimizing your computer in a single, streamlined step. Boasting powerful, crowd-sourced tech solutions, Jumpshot becomes the easy, enjoyable way to boost your PC's performance."
Print on Fabric Using Sunlight: The Lumi Process,Analog meets digital with this textile printing process. Our new kits make it easy to do it yourself.,3525,50000.0,268437.02,268437.02,6/27/2012 13:45,6/30/2012 14:15,7/30/2012 14:59,1343631541,Technology,Los Angeles,True,,successful,e77b1436bb,2/27/2025,,"7. Description: The Lumi Process introduces an exciting blend of traditional techniques and digital creativity. With our kits, you can print unique designs on fabric using just sunlight. Drawing on analog methods for a digital age, this project invites everyone to embrace the power of the sun and create personalized, eco-conscious textiles."
Carpool DeVille - The World's Fastest Hot Tub,"After fifteen years of prototyping and planning, we've built a hot tub into a 1969 Cadillac and we're going to see how fast it can go!",203,10000.0,11251.0,11251.0,4/22/2014 0:58,6/17/2014 9:08,7/12/2014 9:08,1405127335,Technology,Los Angeles,True,,successful,e2d68cefdc,2/27/2025,,"8. Description: Gear up for a thrilling ride with Carpool DeVille, the world's"
XY - The secure iOS/Android Bluetooth tracking tag,"XY  is the most stylish, convenient, and affordable Bluetooth Tracking tag. For more information, visit www.XYFindIt.com",4091,45000.0,205121.59,205121.59,1/28/2014 23:58,2/20/2014 13:00,4/21/2014 12:00,1398052813,Technology,San Diego,True,,successful,e1d841e038,2/27/2025,,Description could not be generated
Maker Pipe - Build Anything with Electrical Conduit,A simple system of connectors that allows you to build anything with electrical metal conduit.,529,10000.0,87717.33,87717.33,9/10/2016 9:06,9/23/2016 18:57,10/31/2016 8:00,1477872000,Technology,Clemson,True,,successful,dd49740b52,2/27/2025,,Description could not be generated
The Emoji Keyboard - Type Emoji on your Mac!,Silicone keyboard cover + magic software = your favorite emoji right beneath your fingertips!,464,20000.0,20986.28,20986.28,2/28/2015 3:23,3/11/2015 3:48,4/10/2015 3:48,1428608922,Technology,Oakland,True,,successful,d843a701a9,2/27/2025,,"1. Description: Express yourself like never before, with The Emoji Keyboard for Mac. This unique combination of a silicone keyboard cover and a magical software puts all your favorite emojis right under your fingers. No more scrolling, clicking or searching. Type as naturally as words, but with whole new fun dimension."
"HexBright, an Open Source Light","HexBright is a stylish, rugged, high-power compact light you can use as-is or reprogram however you want using open-source code.",3156,31000.0,259293.65,259293.65,5/5/2011 13:29,5/21/2011 12:56,7/19/2011 11:00,1311044431,Technology,Los Angeles,True,,successful,d725ac1553,2/27/2025,,"2. Description: Say hello to HexBright, your next 'must have' gadget. This isn't your average flashlight. It's a compact, super high-powered light that's completely customizable. Use it right out of the box or program it to work exactly how you want, thanks to the power of open-source software. It's time to shine with HexBright."
STEAM Carnival,"The carnival reimagined with robots, fire, and lasers to inspire young inventors in science, technology, engineering, art, and math",1130,100000.0,102699.71,102699.71,4/5/2013 1:40,4/30/2013 15:00,6/3/2013 15:00,1370242835,Technology,Los Angeles,True,,successful,d7231f94d1,2/27/2025,,"3. Description: The STEAM Carnival is not your typical funfair. In this revolutionary affair, robots, fire, and lasers reign supreme. Our goal is to inspire the next generation of inventors with interactive activities on science, technology, engineering, arts, and mathematics. It's an unforgettable, magical combination of fun, learning and creativity."
Heirloom Chemistry Set,This is the chemistry set you always wanted as a kid but either didn't get it or you got stuck with some cheap plastic wannabe.,527,30000.0,149038.14,149038.14,3/1/2013 6:12,11/12/2013 8:03,12/27/2013 8:03,1388102606,Technology,Parkville,True,,successful,d66f701719,2/27/2025,,"4. Description: Remember the chemistry set you always dreamt of as a child? The Heirloom Chemistry Set is that dream realised. Your cheap plastic sets have nothing on this high-quality, all-encompassing kit. Filled with everything you need to explore, discover and fall in love with the world of chemistry."
"Soundlazer ""Snap"" - The Directional Parametric Speaker",Focus a beam of sound at objects or into your head!  This project is a follow up to my widely successful previous Kickstarter campaign.,458,25000.0,73753.0,73753.0,8/1/2014 4:11,10/21/2014 0:19,12/20/2014 1:19,1419009567,Technology,Los Angeles,True,,successful,d348ca99d5,2/27/2025,,"5. Description: The Soundlazer 'Snap' is a leap ahead in audio technology. This Directional Parametric Speaker can focus sound like a beam of light, enabling you to target sounds at specific areas or listeners. Continuing the journey started with our previous successful Kickstarter campaign, this innovative product is sure to amaze you."
SOUNDBOKS: THE LOUDEST BATTERY-POWERED SPEAKER,The first and only portable speaker capable of throwing a real party. Shipping before Summer '16!,1559,100000.0,784320.6,784320.6,1/20/2016 2:33,3/1/2016 11:59,4/3/2016 10:59,1459652344,Technology,San Francisco,True,,successful,d2ee6d3a55,2/27/2025,,"6. Description: Say goodbye to dull, low-volume outdoor parties. Introducing SOUNDBOKS, the world's first battery-powered speaker that can throw a real party. We promise detailed sound quality, explosive volume and endless energy. Enjoy your summer shindigs like never before."
Make /100 City Maps weaved of cassette tapes,Rehyphen® pioneer in collecting discarded cassette tapes from local and weave them into city maps posters.,150,800.0,12016.0,12016.0,12/23/2019 15:29,1/8/2020 8:00,2/10/2020 0:00,1581264000,Technology,New York,True,,successful,d07cecbceb,2/27/2025,,"7. Description: Make/100 City Maps reveals beauty in waste. We collect discarded cassette tapes and skillfully weave them into posters of city maps. Who knew cassette tapes could tell different stories? Support us and take a piece of this beautiful, nostalgic art home."
Luminth:  Plug it in.  Make music.,"Click, turn, push+turn. Generate melodies, percussive grooves, and ambient soundscapes.",145,8000.0,13379.2,13379.2,4/27/2013 2:09,5/16/2013 12:01,6/14/2013 9:00,1371171635,Technology,Columbus,True,,successful,cef3f37a53,2/27/2025,,"8. Description: Introducing Luminth! A uniquely interactive way to create music. With a simple click, turn, push+turn, you can generate entrancing melodies, create rhythmic grooves or construct ambient soundscapes. Transform the way you experience and create"
Trinity - The Portable Wind Turbine Power Station,Trinity is a portable wind turbine that charges any USB device like your smart phone or tablet and folds together into a 12” cylinder.,339,50000.0,75319.3,75319.3,4/4/2014 2:14,4/12/2014 7:40,6/1/2014 7:40,1401579624,Technology,Clarkfield,True,,successful,ce5e14a617,2/27/2025,,Description could not be generated
Darma: Sit smart for a healthy body and mind,"Darma is the world's first smart cushion that monitors your posture, sitting habits, stress level, and coaches you to sit better.",1233,40000.0,225574.0,225574.0,4/30/2014 18:46,9/30/2014 21:58,11/14/2014 22:58,1415977098,Technology,Palo Alto,True,,successful,cd8e9cb1ec,2/27/2025,,Description could not be generated
Romo– The Smartphone Robot,Romo is a highly functional robotic toy that uses your smartphone as its brain.,1152,32000.0,114796.62,114796.62,9/28/2011 13:24,10/8/2011 0:46,11/22/2011 1:46,1321897612,Technology,Seattle,True,,successful,cd16fd8430,2/27/2025,,1. Description for Romo – The Smartphone Robot:
Sense: Know More. Sleep Better.,"Sense is a simple system that tracks your sleep behavior, monitors the environment of your bedroom and reinvents the alarm.",19349,100000.0,2410741.22,2410741.22,7/20/2014 1:29,7/23/2014 17:53,8/22/2014 17:53,1408701199,Technology,San Francisco,True,,successful,cb63175c1e,2/27/2025,,"Meet Romo – a robotic toy with a twist! Download the app to your smartphone and watch Romo come to life. He's curious, adventurous, and always ready to play. Learn to code, complete missions, or turn your living room into a lunar landscape. There's a whole world of fun waiting to be discovered with Romo, the robot who grows with you."
The Red Reactor - When Power Really Matters!,"A robust battery charger/power supply that fits neatly underneath your Raspberry Pi, with I2C monitoring and shutdown/reset control",408,8800.0,27242.0,31630.29174,3/18/2021 22:09,9/14/2022 1:59,11/13/2022 2:59,1668279541,Technology,Cambridge,True,,successful,caf12cb906,2/27/2025,,2. Description for Sense: Know More. Sleep Better:
Kickstarter Gold: Balloon Mapping Kits,A simple DIY kit to take aerial photographs of things that are important to you - from hundreds of feet up. The drone alternative!,161,10000.0,12259.0,12259.0,5/27/2017 3:40,6/20/2017 22:02,7/20/2017 22:02,1500559361,Technology,New Orleans,True,False,successful,c962087c9f,2/27/2025,,"Say hello to Sense - the device revolutionizing sleep. This compact tool will monitor your sleep patterns and environment, giving you detailed insights into your night. But it doesn't stop when the sun comes up – Sense's intelligent alarm wakes you at just the right moment in your sleep cycle. Upgrade your nights (and days!) with Sense, for the best sleep ever."
ABC: Basic Connections - The Essential Book for Makers,A collection of neat circuit diagrams that shows you how to properly connect almost anything to your Arduino compatible board.,2707,50000.0,100929.5,110308.3576,4/27/2017 19:39,5/16/2017 16:30,6/20/2017 16:30,1497947420,Technology,Madrid,True,,successful,c91bfd25d1,2/27/2025,,3. Description for The Red Reactor - When Power Really Matters!:
N2 – Writing experience as a pen with digital convenience,"Neo smartpen N2 is a smartpen that writes on paper but also mirrors into smart devices. iOS, Android, Windows compatible. Support us!",2243,20000.0,359112.0,319016.9872,9/16/2014 13:35,9/25/2014 8:33,10/16/2014 23:00,1413471611,Technology,Sydney,True,,successful,c40b185bdf,2/27/2025,,"Power up with The Red Reactor - the compact powerhouse for your Raspberry Pi. This robust battery charger and backup power supply fits snugly under your Pi and features intelligent I2C monitoring and easy reset control. With The Red Reactor, you'll never be left powerless again. It's the perfect companion for creators, makers, and Raspberry Pi enthusiasts everywhere."
Kolibree: The World's First Connected Electric Toothbrush,Kolibree transforms the way you brush your teeth. Connect to any iOS or Android device to enable FEEDBACK and gaming experiences.,816,70000.0,108683.52,108683.52,3/20/2014 5:04,4/10/2014 23:01,5/25/2014 23:01,1401030121,Technology,New York,True,,successful,c3f9eb14b2,2/27/2025,,4. Description for Kickstarter Gold: Balloon Mapping Kits:
Rhode Island Mini Maker Faire 2013,"Rhode Island's own celebration of New England innovation, ingenuity, and invention.",66,2000.0,2266.0,2266.0,7/11/2013 8:55,7/13/2013 11:30,8/8/2013 11:59,1375934342,Technology,Providence,True,,successful,c3ed5e5fe0,2/27/2025,,"See your world from a new perspective with our DIY Balloon Mapping Kits. Get ready to capture stunning aerial photographs of the places that matter to you. You control the kit, from launch to capture, and there’s no need for expensive drones or advanced tech knowledge. Harness the power of the wind and let your curiosity soar!"
KADE - Connects arcade controls to computers and consoles,Easily connect arcade controls to your favourite consoles and computers with our ground breaking open source device.,229,750.0,6577.0,10533.98681,11/21/2012 7:29,12/1/2012 1:39,12/24/2012 6:00,1356300032,Technology,Hull,True,,successful,c1d9e5714a,2/27/2025,,5. Description for ABC: Basic Connections - The Essential Book for Makers:
MOUTHBREATHER FUZZ,Help fund the initial run of Totally Ruined Circuits hand wired and hand painted effects pedals.,82,500.0,6114.84,6114.84,2/28/2013 13:32,3/2/2013 9:22,3/16/2013 8:22,1363393322,Technology,Port Chester,True,,successful,c142649991,2/27/2025,,"Get crafting with ABC: Basic Connections, the bible for Arduino enthusiasts and makers. Our comprehensive collection of handy circuit diagrams are simple to follow and make connecting your Arduino compatible board a doddle. It’s time to unleash your creativity and start making things that matter."
Lumos - A Next Generation Bicycle Helmet,The ultimate bicycle helmet with brake lights and turn signals to help cyclists stay safe and visible on the road.,6072,125000.0,809551.0,809551.0,10/8/2014 2:35,7/14/2015 22:52,8/13/2015 22:52,1439477552,Technology,Boston,True,False,successful,c133a83555,2/27/2025,,"1. Description: Introducing Lumos, the next generation bicycle helmet designed with your safety and visibility in mind. Lumos isn't just a standard helmet; it's a revolutionary tool outfitted with intuitive brake lights and turn signals seamlessly integrated into the design. Become instantly more noticeable on the road, reduce the odds of misunderstanding with drivers, and make your nightly biking adventures safer and more enjoyable. Elegant, practical, but above all, safe - Lumos is your ultimate biking companion."
"Neovide, Waterless One-Stop Sous Vide Cooker","No more water containers and vacuum bags. With Neovide, making perfect sous vide food at home is effortless.",984,10000.0,446860.0,318133.8263,6/30/2022 17:28,9/6/2022 21:00,10/6/2022 21:00,1665061204,Technology,Singapore,True,False,successful,be3c051d9c,2/27/2025,,"2. Description: Discover the future of cooking with Neovide, a breakthrough in culinary technology that makes mastering sous vide effortless. Neovide is waterless and doesn't require vacuum bags, making it a more practical and environmentally friendly choice. With our innovative system, you can control cooking temperatures to the degree, ensuring you get perfect, restaurant-quality results each time. Get ready to elevate your cooking with Neovide, chasing the culinary perfection has never been so simple."
"Timelapse+ : powerful features, brilliant timelapse","Timelapse+ : Powerful, flexible, extendable, yet easy-to-use intervalometer for timelapse photography and more",1248,20000.0,165730.01,165730.01,12/24/2011 6:20,12/31/2011 23:36,2/19/2012 13:59,1329631141,Technology,Minneapolis,True,,successful,bb490ee64e,2/27/2025,,"3. Description: Introducing Timelapse+, the definitive gadget for capturing life's most breathtaking moments in stunning, high-quality time-lapse photography. With its powerful features, customizable settings, and remarkable flexibility, Timelapse+ brings together the precision of professional-grade equipment and the ease of use for everyone. Whatever your experience with photography, Timelapse+ makes crafting beautiful time-lapse sequences simpler and more enjoyable than ever before."
GPS AdventureBox - give the gift of fun and adventure,This Arduino based project allows the giver to send the recipient on a fun and/or romantic journey in order for the gift box to unlock.,348,5000.0,39376.14,39376.14,4/13/2011 9:10,12/21/2013 6:52,1/20/2014 6:52,1390171963,Technology,Camarillo,True,,successful,ba96360921,2/27/2025,,"4. Description: Embark on an exciting journey with the GPS AdventureBox. Built on Arduino technology, the AdventureBox lets you guide its recipient on an exciting, interactive quest. As the journey unfolds, the box reveals clues, slowly guiding its holder to the ultimate location, where the locked box will finally open. Whether for a unique romantic surprise or an unforgettable treasure hunt, the GPS AdventureBox redefines gift-giving, making it an adventurous and unforgettable experience."
MOON - the most accurate lunar globe,"The first topographically accurate lunar globe, displaying the current lunar phases at any given time.",541,25000.0,145393.0,206974.8478,11/14/2015 1:38,4/13/2016 21:00,5/13/2016 21:00,1463144418,Technology,London,True,,successful,b97574f3a4,2/27/2025,,"5. Description: Introducing MOON, the most accurate 3D lunar globe that dynamically displays the current moon phase at any given time. Crafted with unprecedented precision, this masterpiece beautifully replicates the Moon, capturing each crater and valley in remarkable detail. If you've ever been mesmerized by the night sky and our celestial neighbor, MOON offers a tangible piece of lunar elegance that can illuminate any room."
On the Salt: Kent Fuller's Last Car,Legendary chassis fabricator KENT FULLER is building the last car of an illustrious career - a STREAMLINER to break land speed records,282,32900.0,35957.43,35957.43,1/16/2013 10:56,3/24/2013 5:11,5/23/2013 5:11,1369257116,Technology,Los Angeles,True,,successful,b821396928,2/27/2025,,"6. Description: Join master fabricator Kent Fuller on his quest to create a record-breaking Streamliner. As the last masterpiece car concludes his illustrious career, he is inviting the community to be part of this astounding project"
L'Oréal Paris's At-Home Hair Color Device - Colorsonic,"Fast, easy, mistake-free hair color at the press of a button",316,39000.0,42253.0,42253.0,5/7/2024 0:29,5/12/2024 21:34,5/26/2024 21:34,1716730453,Technology,New York,True,False,successful,b6c81aa3da,2/27/2025,,Description could not be generated
The Every Day Calendar,A personal gold star system for your habits,2305,35000.0,593352.09,593352.09,9/6/2018 6:24,10/23/2018 22:59,11/22/2018 23:59,1542902364,Technology,San Francisco,True,False,successful,b6c4465227,2/27/2025,,Description could not be generated
Magnic Microlights: Smallest contactless dynamo bike lights,"Bicycle lights in brake shoes powered by eddy current generators: no mechanical friction, cables or wheel magnets. With newest Cree LED",1129,70000.0,109264.0,124398.1555,2/16/2018 2:40,11/7/2018 2:00,12/22/2018 5:00,1545426000,Technology,Borgholzhausen,True,False,successful,b658e84317,2/27/2025,,Description could not be generated
"SpectraSaber - Multicolor, UltraBright, Scrolling Lightsaber",A new LED Light Saber using the latest electronic technologies and equipped with multiple high-end features.,49,10000.0,23706.0,23706.0,5/29/2012 23:01,6/20/2016 10:46,7/18/2016 10:00,1468807201,Technology,Los Angeles,True,,successful,b5f3ae4170,2/27/2025,,Description could not be generated
The First Desktop 3D Hologram Printer - by LitiHolo,"Make true laser-recorded holograms of people, computer graphics, CAD designs, or 3D art, printed right on your own 3D Hologram Printer.",186,30000.0,127996.9,127996.9,2/14/2021 3:30,3/4/2021 4:00,4/3/2021 3:00,1617390021,Technology,Newport News,True,,successful,b41ba6e78e,2/27/2025,,"1. Description: Bring the impossible into your very own workspace with LitiHolo's First Desktop 3D Hologram Printer! With our groundbreaking technology, transform people, computer graphics, CAD designs, or 3D art into lifelike, laser-recorded holograms. Create captivating, multidimensional displays with a printer designed for convenience, innovation, and above all, magic. Let's change the 3D game—join the holographic revolution!"
Mimic Method Pronunciation and Flow Trainer for...*SQUAWK!?,"Perfect your foreign language pronunciation and ""flow"" through musical speech therapy and personal accent training.",174,10000.0,14742.0,14742.0,2/7/2014 8:31,5/20/2014 21:02,6/19/2014 21:02,1403182944,Technology,New York,True,,successful,b2da34a9de,2/27/2025,,"2. Description: At Mimic Method, we believe in embracing the rhythms and flows of different tongues. Our unique language-learning program harnesses the power of music therapy and personalized accent training to help you master foreign pronunciation. Dance through the intricacies of language and become fluent not just in words, but in culture and emotion too. Join us, and let your conversations be as melodious as they are meaningful."
Noon Design Studio: The only natural dye production house in the US,Noon Design turns the beauty of nature into naturally dyed fabrics for designers and artists by using new technology.  Think pomegranate and walnuts.,89,4500.0,4775.0,4775.0,12/31/2009 3:20,2/1/2010 4:24,3/16/2010 12:59,1268715613,Technology,Chicago,True,,successful,ad9e3d7f54,2/27/2025,,"3. Description: Welcome to Noon Design Studio, where we explore the rich hues of nature through fabric artistry. Creating the only natural dye production house in the US, we use cutting-edge technology to transform elements like pomegranate and walnut into stunning, naturally dyed fabrics. For designers, artists, and anyone in love with nature's palette, join us, and let's paint the world with colors that breathe."
Fahrenheit 2451 - Preserve Your Data in a Sapphire Disk,"Preserve your most precious memories for thousands of years. The only storage medium that resists fire, water and time.",341,43000.0,45461.0,50950.22436,5/11/2015 17:29,6/16/2015 15:50,7/16/2015 14:30,1437028213,Technology,Grenoble,True,,successful,a9d4e15a09,2/27/2025,,"4. Description: In the age where digital memories can fade away unluckily, Fahrenheit 2451 offers an eternal solution. Preserve your most cherished memories on a Sapphire Disk designed to resist fire, water, and the merciless passing of time. From personal letters to wedding vows, keep a piece of your heart alive for thousands of years. Because your story, is timeless."
XOXO Festival,"A festival this September in Portland, Oregon bringing together artists and toolmakers to celebrate disruptive creativity.",735,125000.0,175511.0,175511.0,5/20/2012 22:44,5/23/2012 2:19,6/16/2012 7:00,1339801218,Technology,Portland,True,False,successful,a9515d58ad,2/27/2025,,"5. Description: This September, be a part of XOXO Festival in Portland, Oregon. A convergence of artistic minds and innovative toolmakers, we celebrate the spirit of disruptive creativity. Join us for three days of inspired conversation, spontaneous collaboration, and explosive ideas. Let's redefine creativity, together."
PSDR - Pocket HF SDR Transceiver with VNA and GPS,"Rugged, Pocket-Sized Software Defined HF/Shortwave Transceiver. Open Source Hardware & Software. Includes Vector Network Analyzer & GPS",256,60000.0,66197.0,66197.0,11/2/2014 7:08,1/14/2015 13:01,2/13/2015 13:01,1423803666,Technology,American Fork,True,,successful,a850de967f,2/27/2025,,"6. Description: With the PSDR - Pocket HF SDR Transceiver, robust communication seamlessly meets portability. This pocket-sized innovation boasts not just a software-defined radio but also a Vector Network Analyzer and GPS. Whether you're an amateur radio enthusiast or a professional, the PSDR opens up a world of opportunities. Walk, talk, connect- all in your back pocket."
DIY Virtual Reality Open Source Future,"To make Virtual Reality, well, a reality, we need VR software to flourish. We've made accessible hardware a reality, now onto software!",1238,25000.0,62909.0,62909.0,11/14/2014 14:56,11/18/2014 11:54,12/10/2014 15:59,1418198340,Technology,San Francisco,True,,successful,a6bf7b0338,2/27/2025,,7. Description: Join us as we push boundaries with the DIY Virtual Reality Open Source Future project. Building on the momentum of accessible
Quadshot – an aerobatic blend of RC helis and planes,"Quadshot is an R/C aircraft that hovers like a helicopter and flies like a plane. Do stunts, hack it, take aerial video, or just fly!",293,25000.0,84005.0,84005.0,6/28/2011 5:10,8/4/2011 11:44,9/18/2011 11:44,1316317525,Technology,Santa Cruz,True,,successful,a697120e2d,2/27/2025,,Description could not be generated
Milwaukee MakerFest 2013,Milwaukee MakerFest celebrates people who make and the curiosity and creativity that drives them,94,3200.0,3533.0,3533.0,7/29/2013 10:12,9/4/2013 8:33,10/4/2013 8:33,1380846791,Technology,Milwaukee,True,,successful,a62868f84b,2/27/2025,,Description could not be generated
